ticker,sentiment,lastSentiment,sentimentChange,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
USIO,0.521888889,35.84166667,-98.54390452,51,"Usio, Inc.",2.075,-0.175,-0.07778,38880,52993232,248942,2.25
GREE,0.414285714,9.787878788,-95.76735958,52,Greenidge Generation Holdings Inc.,2.52,0.03,0.01205,388707,31968764,307666,2.68
SCS,0.95,13.53333333,-92.98029557,53,Steelcase Inc.,10.5,0,0,612470,968796864,681611,10.565
CSIQ,4.214666667,55.2,-92.3647343,54,Canadian Solar Inc.,30.17,0.89,0.0304,677932,1756730987,864341,30.17
AFYA,4.511111111,55.2,-91.82769726,55,Afya Limited,9.27,-0.37999916,-0.039378152,231007,842304704,472541,9.65
ES,5.462876034,63.70586257,-91.42484567,56,Eversource Energy,84.15,0,0,1448482,29021495144,1820580,83.37
ALKM,2.222222222,20,-88.88888889,57,Alkame Holdings Inc,0.0006,0,0,33533500,5007833,84667494,0.0006
JPM,-4.917668484,-41.91543375,-88.26764262,58,JPMorgan Chase & Co.,111.85,-0.04,-0.00036,10656197,3.28627E+11,12515590,112.62
VKIN,1.860539216,13.54326953,-86.26225956,59,"Viking Energy Group, Inc.",0.3553,-0.0196,-0.052280617,120622,59394196,118985,0.3749
GUSH,0.138125,0.921190476,-85.00581546,60,Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X Shares,108.42,-0.46,-0.00422,2385927,596490587,1943547,112.76
KRYS,4.444444444,27.6,-83.89694042,61,"Krystal Biotech, Inc.",76.5,1.77,0.02369,298639,1915713863,286685,71.35
KALV,-1.613333333,-10,-83.86666667,62,"KalVista Pharmaceuticals, Inc.",10.01,0,0,117883,245677993,148022,9.85
BEKE,4.342857143,24.0425,-81.93674891,63,KE Holdings Inc.,16.17,0.2,0.01252,15842791,19352056092,17852391,17.76
SLI,4.375,22.753125,-80.771872,64,Standard Lithium Ltd.,4.26,0,0,832089,708873359,710882,4.13
IJR,6.40625,32.825,-80.48362529,65,iShares Core S&P Small-Cap ETF,93.17,0.87,0.00943,3633206,60691865000,6426852,93.35
M,5.491639953,28.1032593,-80.45906386,66,"Macy's, Inc.",17.65,0.09,0.00513,12690114,4736508144,14522270,18.8
E,1.179614325,5.878660714,-79.93396145,67,Eni S.p.A.,22.1,0,0,700103,39464942157,779268,22.55
CASA,6.391025641,31.73333333,-79.86021332,68,"Casa Systems, Inc.",3.81,-0.1,-0.02558,155708,368244426,333448,3.95
ATEN,7.0109375,32.82222222,-78.63966232,69,"A10 Networks, Inc.",13.76,0.45,0.03381,636567,1009224108,615059,13.64
GIII,10.02222222,42,-76.13756614,70,"G-III Apparel Group, Ltd.",19.89,-0.01,-0.0005,604405,959684684,588233,20.43
GOOS,5.714285714,23.8,-75.99039616,71,Canada Goose Holdings Inc.,17.48,0,0,776903,947248751,1503072,17.96
ASML,0.901601975,3.631950457,-75.17581845,72,ASML Holding N.V.,429,0.12,0.00028,1464674,1.74329E+11,2779149,432.4
ASG,12.59333333,48.57222222,-74.07297266,73,"Liberty All-Star Growth Fund, Inc.",6.1,0,0,219793,343480581,192791,6
WIX,3.121311475,11.92539683,-73.82635126,74,Wix.com Ltd.,69.79,0,0,840398,3995769850,927418,72.15
EURN,6.757111111,25.61363636,-73.61908706,75,Euronav NV,10.94,0,0,1363373,2407070360,1087469,11.76
DOLE,4.699761905,16.8875,-72.17017377,76,Dole plc,8.6,0,0,299067,815948272,282421,8.88
SEV,14.02222222,47.6,-70.54154995,77,Sono Group N.V.,2.96,0.03,0.01024,336295,238817388,438660,3.04
ASHR,7.399519231,24.89117647,-70.27252111,78,Xtrackers Harvest CSI 300 China A-Shares ETF,33.27,-0.09,-0.0027,8727103,2857284033,11019914,33.92
ABG,5.736842105,19.16666667,-70.06864989,79,"Asbury Automotive Group, Inc.",169.4,0,0,193895,3749042220,156817,177.79
D-UN.TO,6.666666667,22.08333333,-69.81132075,80,Dream Office Real Estate Investment Trust,19.43,0.05000114,0.002580039,122557,913787072,103573,19.38
AREB,6,19.46,-69.16752312,81,"American Rebel Holdings, Inc.",0.7643,-0.01389998,-0.01786171,114833,,,0.7782
AES,5.463333333,17.68055556,-69.09976434,82,The AES Corporation,21.17,0.13,0.00618,4473920,14051766931,4844758,21.18
DCFC,6.854444444,21.8225,-68.59001286,83,Tritium DCFC Limited,5.75,0.08,0.01411,198757,891120044,300812,5.84
AEP,9.16016129,27.29777778,-66.44356414,84,"American Electric Power Company, Inc.",94.46,-0.34,-0.00359,2574158,48683987885,3654919,93.58
FORD,6.485714286,19.16666667,-66.16149068,85,"Forward Industries, Inc.",1.54,-0.07,-0.04348,9948,16198508,35505,1.59
FUL,18.59027778,53.6,-65.31664594,86,H.B. Fuller Company,59.62,0,0,490538,3169565242,503342,59.71
MA,6.250221152,17.84277202,-64.97057102,87,Mastercard Incorporated,320.17,0,0,2219210,3.08939E+11,2112392,319.26
XOP,4.128850872,11.66500361,-64.60480417,88,SPDR S&P Oil & Gas Exploration & Production ETF,112.02,-0.36,-0.0032,10711386,3961395000,11748421,114.31
EAT,7.594278253,21.45175439,-64.59833487,89,"Brinker International, Inc.",22.51,0,0,826463,986862981,1079402,23.67
RNG,12.68813063,34.92962963,-63.67516414,90,"RingCentral, Inc.",56,0.64,0.01156,3111355,4702429865,2291362,61.33
SJR,13.71657407,36.53846154,-62.45990253,91,Shaw Communications Inc.,29.07,0.71,0.02504,715218,13527766284,474753,29.31
H,2.76404495,7.362332732,-62.45694061,92,Hyatt Hotels Corporation,73.17,0,0,623705,3752848252,457764,75.15
RCL,4.299652778,11.41596442,-62.33649108,93,Royal Caribbean Cruises Ltd.,33.84,0.15,0.00445,7568981,8589477848,9226673,36.3
ABB,7.696969697,20.41481481,-62.29713683,94,ABB Ltd,26.37,0,0,2062088,51810327628,2165901,26.39
TS,9.105343915,23.84425,-61.81325093,95,Tenaris S.A.,22.89,0,0,3131018,13511244019,2999453,23.76
PALT,3.440860215,8.974358974,-61.65898618,96,"Paltalk, Inc.",2.01,0.03,0.01515,15608,19467671,42401,2.01
PHUN,9.345658069,24.23945614,-61.44443995,97,"Phunware, Inc.",1.07,0,0,418360,104683231,1223960,1.1
WOLF,7.147145062,18.41875,-61.19636207,98,"Wolfspeed, Inc.",65.95,0,0,1605399,8153709784,1681885,67.69
JAGX,5.631029762,14.46169591,-61.06245216,99,"Jaguar Health, Inc.",0.3299,0.0135,0.04267,876631,24996280,1675392,0.3153
WAVE,6.187820513,15.43680556,-59.91514896,100,Eco Wave Power Global AB - ADR,4.9,0.14,0.02941,28039,26414935,4499,4.4
BCYC,18.30357143,45.1,-59.41558442,101,Bicycle Therapeutics plc,18.52,0,0,408926,549090850,276945,18.47
