ticker,sentiment,lastSentiment,sentimentChange,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
NLST,16.884999999999994,4.5803030303030345,268.6437313926558,59,"Netlist, Inc.",3.6275,0.03750014,0.010445722,268198,839719104,1166750.0,3.59
DLTR,18.35136393878909,5.227152917505018,251.07761774737617,60,"Dollar Tree, Inc.",164.52,-1.27,-0.00766,1544674,37229145208,3337006.0,164.84
ISPC,19.999999999999996,5.714285714285716,249.99999999999983,61,iSpecimen Inc.,2.41,0.04,0.01688,28558,21020144,18537.0,2.29
SNGX,23.30416666666666,6.666666666666665,249.5625,62,"Soligenix, Inc.",0.58,0.0,0.0,98736,24969142,133803.0,0.5721
KSS,11.22391724896481,3.2115928346330813,249.48132677121015,63,Kohl's Corporation,27.5,0.13,0.00475,7436034,3515990708,10859439.0,29.41
MU,9.31515870951225,2.8368607717209615,228.36150446189416,64,"Micron Technology, Inc.",57.36,-0.01,-0.00017,23565024,63287434846,33766111.0,56.73
MNDY,27.921568627450988,8.584999999999997,225.2366759167268,65,Monday.Com Ltd,109.44,-9.459999,-0.07956265,656679,4993306824,1564173.0,118.9
GPS,33.726034278959816,10.67499999999999,215.93474734388613,66,"The Gap, Inc.",8.5,-0.07,-0.00817,6503963,3153486514,8636055.0,8.72
ARCH,14.339887387387385,4.643955823293178,208.78604218113583,67,"Arch Resources, Inc.",129.22,0.0,0.0,774528,1999984459,948312.0,130.75
AMZN,12.845248851336844,4.2021837332894885,205.68032400814437,68,"Amazon.com, Inc.",114.5,0.17,0.00149,66958884,1163193420000,148075.0,113.59
XERS,14.013125000000004,4.639957264957273,202.0097858623067,69,"Xeris Biopharma Holdings, Inc.",1.7,0.04,0.0241,913038,224981055,996200.0,1.59
FCF,29.98753840245778,10.429183884297522,187.53485157748418,70,First Commonwealth Financial Corporation,13.58,0.0,0.0,387261,1280821832,599880.0,13.7
SENS,20.738235294117647,7.670454545454541,170.3651416122006,71,"Senseonics Holdings, Inc.",1.09,0.0,0.0,2298878,504957214,1847516.0,1.06
SHOP.TO,2.6899999999999924,0.0,168.99999999999923,72,Shopify Inc.,43.06,-1.3,-0.02931,2271051,5189203660,169808.0,44.36
AC.TO,2.6899999999999924,0.0,168.99999999999923,73,Air Canada,16.48,0.09,0.00549,2684305,5899321341,3287837.0,16.39
ENB.TO,2.6899999999999924,0.0,168.99999999999923,74,Enbridge Inc.,53.85,-0.17,-0.00315,2880503,109076056514,3665188.0,54.02
BATRA,49.09444444444446,18.44999999999999,166.0945498343875,75,The Liberty Braves Group,26.09,0.21999931,0.008504032,58031,1330099456,21879.0,25.87
CHPT,16.593257080610037,6.293597094801218,163.65299256790337,76,"ChargePoint Holdings, Inc.",12.44,-0.01,-0.0008,8406759,4203586999,10575450.0,12.7
CAPR,16.71,6.407499999999988,160.7881388997274,77,"Capricor Therapeutics, Inc.",3.61,0.0,0.0,93413,87810203,94083.0,3.73
LIXT,65.5,25.71428571428569,154.72222222222248,78,"Lixte Biotechnology Holdings, Inc.",0.7751,0.0351,0.04743,35973,12318479,39291.0,0.7201
LGVN,14.481666666666682,5.845833333333328,147.7263007840347,79,Longeveron Inc.,6.02,-0.07,-0.01149,58720,32718172,106534.0,6.47
BCE,37.725170068027204,15.406666666666657,144.86263566439135,80,BCE Inc.,48.96,0.0,0.0,901478,44646982044,1269612.0,48.89
GOGL,14.05727891156463,5.8869614512471635,138.7866648691333,81,Golden Ocean Group Limited,10.01,-0.01,-0.001,4538571,1981006545,3849189.0,10.46
IBIO,15.963276515151525,6.786733333333328,135.21296227667023,82,"iBio, Inc.",0.27,0.0096,0.03687,3834262,56810328,2093911.0,0.248
TIVC,4.0012731481481545,1.7291666666666483,131.39892904953427,83,"Tivic Health Systems, Inc.",1.87,0.015,0.00809,20421,17847853,13307.0,1.91
BLD,24.170889639639647,10.614516129032259,127.71541675393681,84,TopBuild Corp.,177.28,0.0,0.0,206439,5810866289,230902.0,178.08
EBAY,17.539481740064456,7.781882352941172,125.3886777591207,85,eBay Inc.,43.93,0.21,0.0048,6444067,24476298142,6413936.0,43.93
RIBT,7.554486698441676,3.4415457772419833,119.50853446138838,86,RiceBran Technologies,0.393,-0.0078,-0.01946,2655048,20769626,10182681.0,0.4285
C,8.062265357531896,3.7081439242363734,117.42050800232025,87,Citigroup Inc.,46.22,0.07,0.00152,14952821,91418286390,19167273.0,46.61
TNP,6.872222222222235,3.2413978494623574,112.01415381213118,88,Tsakos Energy Navigation Limited,9.08,0.0,0.0,228748,165217955,173199.0,8.95
OCUP,36.875000000000014,17.500000000000004,110.71428571428577,89,"Ocuphire Pharma, Inc.",2.04,0.05,0.02513,45635,38535090,40759.0,1.97
OPEN,14.448073671497585,6.896101240834751,109.51075349567651,90,Opendoor Technologies Inc.,5.41,0.05,0.00933,17303308,3348668581,13092047.0,5.47
QS,18.23917670682731,8.72674418604651,109.00322408889393,91,QuantumScape Corporation,9.14,-0.01,-0.00109,4792757,3063362501,6609765.0,9.33
SOUN,36.55,17.692307692307672,106.58695652173935,92,SoundHound AI Inc - Class A,3.03,0.0,0.0,196535,471917473,622461.0,3.07
WES,37.839444444444446,18.82265624999999,101.03137379690747,93,"Western Midstream Partners, LP",24.4,0.84,0.03565,1299320,9502544564,1226003.0,23.89
