ticker,sentiment change percent,price change percent
FUL,9604.189083617932,0.00531473
SLBG,7529.999999999998,-0.0624312
USEG,3296.948150394155,-0.0028901705
CA.PA,2566.666666666666,0.01239664
ISBC,2233.333333333334,-0.024613247
FMBI,2233.333333333334,0.027711415000000003
KL.TO,1941.9696969696965,0.020739186
ABX.TO,1899.9999999999995,0.038005261
D-UN.TO,1450.0000000000005,-0.0015479246999999998
VKIN,1158.3928019359314,0.013157882999999999
GOCO,1053.9199999999926,0.020739307
ASTI,649.9999999999995,-0.034782577
CCU,635.3047404063199,-0.007917686
USIO,599.9346385511883,-0.012345667
EPRT,569.5779705424934,0.027919980999999996
MARPS,560.6606606606581,-0.007999992000000001
DISCK,540.5000000000025,0.058058934000000006
BYSI,533.384559754113,0.08333325
AQB,507.8915728494904,-0.093567295
AFYA,460.5035405192764,-0.0020100003
WPM.TO,459.1333333333348,0.036006858
EURN,443.5039058529022,0.00922042
FDMT,440.17924813665576,-0.0028653267
TCRX,431.1475409836074,0.017488098
NAK,423.7622839107666,0.0138143
CASH,420.685860993951,0.050426710000000007
GGD.TO,410.2022471910104,0.03414631
EEENF,389.66234207646534,0.09259
SY,388.99999999999864,0.05054275
BLI,376.3294545487427,0.09859159999999999
BAB,373.05426356589,0.003246759
FCF,371.65206102934303,0.020864363
EPIX,347.3572044968913,-0.10476195
ATEN,340.58765979438397,-0.062587
ABCB,339.80409104004616,0.016426079
GNPX,332.7392000000002,-0.0071942379999999995
TD.TO,300.00000000000176,-0.0050941866999999995
ANY,298.7273737784836,0.020903344
AXSM,292.21517376775427,0.06109661
PETV,289.3567902218568,0.15189875
NKLA,287.82530070274885,-0.008403453
TNXP,286.0660788967401,0.018987322
JACK,280.0044852574748,0.031573322
JP,273.38399672091185,0.0
AEHR,259.88372093023304,-0.074666657
FSV.TO,257.14285714285586,0.004995509
BMO,255.5746369386922,0.0083186346
ADUS,248.30222222222224,0.016090347
ELEV,245.5004591368231,0.028571486
VAXX,242.90274460562836,0.11464964999999999
TNP,241.2597714042643,0.06577480000000001
KZIA,233.62412887273058,-0.0023866894999999997
AREB,223.04439134496909,-0.047386255
WEAT,207.71711762744434,-0.045354
BWAC,200.0,0.0
DRMA,197.86014309701105,-0.2108906
SCS,194.85864782731522,-0.0027958745
ILMN,190.7541851680926,0.036233417999999996
ASG,187.09870470568978,0.0171526
MNDY,184.0208477788913,0.054575386000000004
HYLN,173.25833302096743,-0.0031055899999999997
LABD,172.35016730749643,-0.09322029999999999
DCFC,171.454151877791,0.006568138
CORN,170.43406794784056,-0.021860064999999998
AES,168.38750434849646,0.022370267
WIX,161.17771543086207,0.04057965
TS,159.83846553101847,-0.007006630000000001
BG,156.02011952474237,0.00286685
HOTH,153.80191384424177,-0.010019111999999998
SMSI,153.35461500357752,-0.032388632
SD,152.8637545903279,0.015954053
KSCP,151.79808491657366,0.0066666603
WWE,150.34150260085556,0.00112017
DOL.TO,149.99999999999966,0.015650242999999998
MKD,145.37033303123854,0.01051698
MGTX,144.83666796091063,0.0
K,144.72522379214595,0.00616768
RCL,143.24776504077707,0.0108852
C,141.23266596406938,0.019134500000000002
BITF,132.65804363570783,-0.017857125
FTI,122.79344312994156,-0.013372979
CWI,121.40704609113011,-0.0008410621
CODX,118.44346766350368,0.040998219999999995
INDO,112.64730195128662,-0.042748100000000004
ES,112.33287503052397,0.031727242
ZEN,111.77147154269625,0.00594036
OOMA,110.5,0.010979699999999998
AY,110.44496698646498,0.053626885
FTS.TO,108.33333333333259,-0.005094455
SKYH,107.7790682835508,0.0176679
