ticker
TSLA
BABA
SPY
AMC
SM
ATOM-USD
GME
QQQ
AAPL
BBIG
NIO
AMZN
CVX
NVDA
SIGA
MULN
AMD
MSFT
META
NFLX
COIN
IWM
ZEN
ES
JPM
LCID
FB
GS
M
SAIL
ACA
JOE-USD
KO
BA
GOOGL
TWTR
RAD
F
ACH
PFE
T
ARKK
SHOP
ROSE
MU
XOM
AAL
DASH
DIS
LOVE
GOOG
PLTR
DKNG
CCL
PLUG
INTC
CEI
SQ
ASTR
RBLX
PYPL
H
MRNA
SNAP
NKE
DAL
ROKU
TRI.TO
NVAX
DWAC
S
V
XLE
JETS
TGGI
ALPP
GOLD
SAVE
LUV-USD
OXY
RDBX
LI
PPD
NKLA
RCL
KEY
HMBL
SPI
NCLH
MSTR
BB
MMAT
JBLU
TLRY
STEM
JNJ
SNOW
UBER
SNDL
ILUS
UVXY
ABBV
BBBY
TSM
INO
AI
SQQQ
RIVN
MO
FSR
SLBG
E
NWBO
U
ACM
A
ST
FCEL
CRM
WISH
SOS
OCGN
MARA
RIDE
KSS
USO
SPCE
BNGO
MDT
RIOT
ABT
PTON
C
AMPL
UPST
DG
FTS.TO
CLOV
SRNE
PEP
FCX
CGC
XELA
MKD
W
KWEB
SOLO
ACB
IMPP
GNUS
BNS.TO
MA
CHWY
ISBC
XAIR
GILD
FMBI
DOCU
FCF
AFRM
LMT
MVIS
NOK
WKHS
B
PG
HYMC
JAGX
G
ASML
DDOG
ENPH
ACY
CVNA
CENN
VXRT
BEST
CNQ
BHC.TO
XOP
HCMC
OPEN
AVGO
SPOT
TQQQ
ANY
KODK
CAN
AGRX
TCRX
CELH
D-UN.TO
BLD
ATER
ZOM
LULU
AUR
T.TO
AZN
AAB.TO
