ticker,sentiment change percent,price change percent
CASH,-3379.8291879613466,0.050426710000000007
APDN,-3328.1403135967194,-0.04181892
IMRN,-2309.6954769366234,0.008968601
CM.TO,-1445.000000000122,0.0015997808
ERYP,-1015.7509157509121,0.022831028
BAB,-969.1555555555519,0.003246759
ACCO,-809.4027975826701,0.00612557
AIHS,-691.1241706662889,-0.08470586000000001
AEM.TO,-627.9698302954074,0.039884632
TECK-B.TO,-600.0000000000005,-0.02921752
ENB.TO,-518.7577255871433,0.0032192647
ANF,-466.88566076410336,0.0153664
LTBR,-349.40583491615314,0.0085836834
AAV.TO,-342.77289138637735,0.08624994
AEHL,-268.17320397391364,0.056176443
MG.TO,-201.36624063464086,-0.006083762
GRA,-201.01010101010112,0.0
CNQ.TO,-184.02868385743741,0.043516006
CCO.TO,-177.3401826484017,0.030672579999999998
NUZE,-163.45177664974605,0.029702942
CVE.TO,-161.37053933722646,0.008574969
GGD.TO,-145.25606694560668,0.03414631
AC.TO,-143.23989162902785,0.008728141
CHEK,-139.30975979998212,0.012945011
FSV.TO,-130.65603923973015,0.004995509
COCP,-126.1342893763171,-0.03658533
TD.TO,-121.76576808977171,-0.0050941866999999995
APVO,-120.04041389273175,0.0
WERN,-117.44849362304204,0.012236427999999999
LAC.TO,-115.49138678894546,-0.0057847905
IMMR,-107.53623188405741,0.0037453148000000003
IMO.TO,-105.50979068197177,0.011865543999999999
PPD,-104.16666666666667,0.0
RIG,-101.85816532931304,0.0
SU.TO,-100.62857481521417,0.018600534
GIL.TO,-100.0,-0.0032388377000000003
NA.TO,-100.0,0.0091156226
VACQ,-100.0,0.045167117
AAB.TO,-100.0,0.0
ACM,-100.0,0.00567303
TRP.TO,-100.0,0.0047990355
L.TO,-100.0,0.002842638
CAE.TO,-100.0,0.0044136602
VRPX,-99.17588811619544,-0.011904751
AGS,-97.3106037971394,0.0271319
WSBC,-97.01134249534897,0.017029358
KALV,-96.46211321456502,0.006097506999999999
T.TO,-94.0723046484634,-0.0034879798000000003
YANG,-91.02106118860962,-0.0036529600000000002
STM,-89.20603636577623,-0.034000628000000005
FTS.TO,-88.879003558719,-0.005094455
WEED.TO,-83.37743694982974,-0.005464476
GMDA,-83.04316718340101,-0.016949136
TRT,-81.24345823738761,-0.03
GAB,-80.77115756146264,0.016393427000000002
BUD,-76.64697889928802,0.02094534
PLAG,-75.65521701091707,0.007215549999999999
VIAC,-72.66708066494365,-0.17810507
J,-70.69762258664612,-0.00574212
ISPC,-69.89430547948014,0.02752291
UA,-69.5367260318118,0.011873400000000001
NTR.TO,-68.02792321116927,-0.0012682165000000001
SI,-67.02871007497981,-0.00915371
GOCO,-65.95513339339986,0.020739307
GBT,-65.19169049451158,0.02660402
DISCK,-65.04327301337524,0.058058934000000006
DRCT,-64.85683761947296,-0.007751931
NOV,-64.52977511309496,-0.0005913796
RY.TO,-63.820672478206795,0.007220807700000001
ARRY,-63.63124022194733,0.0072661144
FM.TO,-62.903048673343875,0.0012285294
ALEX,-61.38391047195741,0.011142
SKYH,-60.83113955243804,0.0176679
STEM,-59.94098678686004,-0.0013966100000000002
VKIN,-59.034419254145746,0.013157882999999999
HGEN,-58.420059503599916,-0.07344632599999999
SNGX,-54.760152906882254,-0.032000043
BMO,-54.37124049805141,0.0083186346
YCBD,-54.276963465324854,-0.023171300000000002
NTRB,-54.11861856197312,-0.0072993207000000004
AMRN,-53.78249843583962,-0.033557017
SHOP.TO,-53.19951472372342,0.0029835635
GOEV,-51.86898802478568,0.016216199
NAK,-51.53725747656753,0.0138143
HCMC,-50.94900009034626,-0.5
MTEX,-50.8707530479367,-0.0014053665
CSU.TO,-50.864607214304435,0.0022241178
IINN,-50.645823053164385,-0.01515159
KZIA,-49.994983426502095,-0.0023866894999999997
BWAC,-49.606299212598394,0.0
REAL,-49.234170267146496,-0.0080321205
EA,-47.38493152176473,0.008877943000000001
CGEN,-46.556798116539014,0.037837799
MU,-46.5049189362708,-0.029486203
B,-46.27961235550862,0.01316634
AGQ,-46.02841808623439,-0.039640348
BEKE,-45.82843888324087,0.0
ACXP,-45.43549875510159,-0.010554079999999999
MDT,-45.104754358630494,0.0181615
WPM.TO,-44.91297208538568,0.036006858
WWE,-43.87049910022672,0.00112017
USIO,-43.50158451376426,-0.012345667
ASML,-43.30239356954606,-0.054740729999999994
ASG,-42.35323771158076,0.0171526
ABT,-41.85000419254443,0.014450066
ACWV,-41.76136363636361,0.013439118000000002
CODX,-41.64858383574812,0.040998219999999995
SJR,-41.22888444721945,0.01222
A,-39.29874321594191,0.005482469
CVNA,-39.05784816990278,-0.0314437
STZ,-38.70615505944579,0.010169033999999999
DRUG,-38.70432387722792,-0.026000926
STSS,-38.68518996843249,0.0859047
IMMX,-38.34908803538614,0.0
FUL,-38.21849016827264,0.00531473
ACHC,-37.79615573317964,0.05840610500000001
ISPO,-37.45521456866955,0.0431965
NKLA,-36.90045836372823,-0.008403453
PSFE,-36.777832573901456,0.0
E,-35.89125762842216,-0.0037799310000000003
BBBY,-35.82060671740523,-0.052313833000000004
SF,-35.4715176443469,-0.000357024
ACY,-33.61666666666668,-0.0466926
MNDY,-33.53003700497021,0.054575386000000004
POWI,-33.09256004224832,-0.065191298
MFC.TO,-33.01035641281622,0.016577098
ADOC,-32.658653846153626,-0.0009794544
VVV,-31.952255613860302,0.0166493
KSS,-31.823718427429625,-0.196414
THCA,-31.100675011158064,-0.0009671401
JD,-30.698323912239644,0.026938581
ALKM,-29.77340637450203,0.0
IJR,-29.546852504147335,0.009414510000000001
L,-29.236291936649483,0.0150186
K,-28.241851762413205,0.00616768
GUSH,-27.91914640395995,0.029414199999999998
DAC,-27.884642266033755,-0.0188589
ISIG,-27.65454164243466,-0.006535972399999999
EVBG,-27.263309989624673,0.038723555
PALT,-27.159370909175863,-0.029850717000000002
CTRM,-27.087770777953246,-0.007462679
AA,-27.076978130121752,-0.0175516
CSCW,-26.544857754070584,-0.060377316
VERU,-25.498087646188374,-0.008849591
CGC,-25.414867943398367,-0.014035075
BFRI,-25.243086117971348,-0.032258098
LULU,-25.067131233257335,-0.033857822
C,-24.80144985409397,0.019134500000000002
AAAU,-24.559110781420014,-0.0005574260000000001
IBIO,-24.1135345486593,-0.0151515
WIX,-23.65718871409902,0.04057965
TNXP,-23.26791105066589,0.018987322
VMW,-23.16246085143562,0.000701827
OXY,-22.761249625571278,0.026494499999999997
AMC,-22.582084814648308,-0.0014760499999999998
BBIG,-22.115666799803325,-0.079710155
DADA,-22.0763063320346,0.07028368
FTS,-21.969318336761066,0.017981775
ACH,-21.470875598321093,0.00315455
JMIA,-21.429439832725773,0.023102288
GPS,-21.412470980681555,0.0303398
HITI,-21.352412905302554,0.020202003
CAPR,-21.117388123462078,0.054441276
RAD,-20.833389314512473,0.016320494
BB,-20.639239227404104,0.0111317
NICE,-20.610418928391795,0.0038971162
GREE,-20.478098713891647,0.0078740084
XELA,-20.426657012733063,0.0034964975999999997
YY,-20.375148099608754,0.03717343
SENS,-20.169213252557626,-0.00970873
NKE,-20.080305006915754,-0.0099804
ASHR,-20.06863938998862,-0.00468247
BBIO,-19.73622754856299,0.09251102
GOOD,-19.517914748331123,0.0053078760000000004
WOLF,-19.38268705687166,-0.00520097
AMZN,-19.325774802392605,0.031541274
INTC,-19.086453623988653,-0.028601969999999997
CHPT,-18.704877823102883,-0.07304602
USO,-18.12380203287335,0.016428124
CSIQ,-17.618762110216256,-0.0006422142
SA,-17.61110161097349,0.037811689999999995
ERIC,-17.518602756089376,0.0040540179999999995
RUSL,-17.499999999999982,0.0
GTEC,-17.44282522529572,0.012345607000000001
VINE,-17.419435263780837,0.0376344
AREB,-17.371807567886,-0.047386255
SLI,-17.240933556629876,0.0
CORN,-17.139680004325353,-0.021860064999999998
MO,-16.715695259255416,0.011491499999999998
SIGA,-16.641792241090336,0.08894644
DARE,-16.631318170317034,-0.032520294
POST,-16.604909053303874,0.0245295
XERS,-16.37606466421575,-0.025974002
