ticker,sentiment change percent,price change percent
CAE.TO,-6122.222222222351,0.0044136602
IMO.TO,-3066.4550809675793,0.011865543999999999
BHC.TO,-1471.0740740740735,0.006970242
ACB.TO,-344.8896983134059,-0.020588284
FM.TO,-254.03168001376386,0.0012285294
CCAC,-230.125576659099,-0.0498652
SHOP.TO,-185.4292912894482,0.0029835635
TD.TO,-122.48617726236317,-0.0050941866999999995
PACE,-116.96460905328416,0.0
SNC.TO,-114.55757575757576,-0.0027100030000000003
AC.TO,-113.89325697478534,0.008728141
TECK-B.TO,-113.55932203389831,-0.02921752
T-C,-105.9398496240602,0.0
EMA.TO,-100.53727747608798,0.0006633651
TRI.TO,-100.0,-0.015947533
AAB.TO,-100.0,0.0
VACQ,-100.0,0.045167117
GIL.TO,-100.0,-0.0032388377000000003
BAM-A.TO,-100.0,-0.0045406622
SLF.TO,-100.0,0.019667681
LAC.TO,-98.07887181899328,-0.0057847905
S.TO,-96.15089687110019,0.048780513
MG.TO,-93.77608866021293,-0.006083762
WEED.TO,-93.69725998772088,-0.005464476
OTEX.TO,-91.41831799032633,0.0034915175999999997
COCP,-85.65370565642255,-0.03658533
FMBI,-84.53004313848756,0.027711415000000003
TRP.TO,-81.65608756250158,0.0047990355
AEHL,-78.20537144806823,0.056176443
BBAX,-77.10676794024307,-0.00398403
WBEV,-75.8461509313416,-0.045161246999999995
WN.TO,-73.89280476843754,0.017423756999999998
PLAG,-69.18974373640029,0.007215549999999999
APVO,-67.18603855819146,0.0
BMO.TO,-66.02398163524462,0.008644367
SY,-64.41320477573156,0.05054275
CPIX,-61.353512865458256,0.012048122999999999
QSR.TO,-59.33912670314352,0.017035750000000002
JPHY,-59.232686607383414,0.00823374
EURN,-58.822791784904695,0.00922042
LTBR,-56.475446968061796,0.0085836834
PACB,-56.250840888637256,0.011312151999999999
NUZE,-55.458218365281176,0.029702942
BAB,-55.2934800357733,0.003246759
ACXP,-55.29243282961942,-0.010554079999999999
SU.TO,-54.37257970571242,0.018600534
DRMA,-53.05784300231794,-0.2108906
DISCK,-52.550791647177505,0.058058934000000006
H.TO,-52.4864327385975,0.0008667662
MGTX,-51.488218343166835,0.0
