ticker,sentiment change percent,price change percent
PHIL,-7073.448334178845,0.0
RDFN,-4004.761904761742,0.08737866999999999
NNDM,-2227.060854553305,-0.012738917
WSR,-2099.9999999999995,0.0112045
KALV,-2099.9999999999995,0.006097506999999999
WEED.TO,-1850.0000000000005,-0.005464476
CSIQ,-1676.3888888888878,-0.0006422142
T.TO,-1433.333333333333,-0.0034879798000000003
B,-1419.5764250699974,0.01316634
SLAB,-1224.9999999999993,-0.08436743
ERIC,-1053.0000000000005,0.0040540179999999995
POST,-676.0,0.0245295
CB,-604.0199999999962,0.0068165445000000005
BEKE,-469.4999999999993,0.0
GOEV,-467.7758318739051,0.016216199
AMZN,-466.4641581272924,0.031541274
IMMR,-449.99999999999966,0.0037453148000000003
VLON,-354.699646643109,-0.030795672
SNAX,-349.00000000000034,-0.0007947286000000001
JPM,-326.038318281192,0.0127875
LOV,-325.5106630476931,-0.00940438
G,-293.0319890535368,0.01322
HITI,-291.25925925925975,0.020202003
JAKK,-289.3129770992373,0.03554501
JD,-285.3255965952935,0.026938581
ACRE,-278.9259259259258,0.0343418
PPD,-266.6666666666672,0.0
FTS,-257.0666666666666,0.017981775
PSFE,-256.8749999999999,0.0
NAK,-216.98611111111114,0.0138143
PEP,-207.61479291320023,0.016380627999999998
SI,-200.7486828727238,-0.00915371
STZ,-200.58333333333405,0.010169033999999999
JBLU,-180.0949251551659,0.019115872
NUE,-179.22535211267606,0.0117804
WEAT,-170.91836734693874,-0.045354
J,-151.4666666666667,-0.00574212
JMIA,-141.9025625744935,0.023102288
ASG,-141.175797781082,0.0171526
SENS,-139.1111111111111,-0.00970873
R,-121.42857142857142,0.014494777
RIG,-115.07352941176482,0.0
AHI,-108.3333333333333,-0.017241362
GBT,-105.47500000000002,0.02660402
LOCL,-102.17391304347827,0.0157233
GOOS,-100.0,-0.021099448
IINN,-100.0,-0.01515159
BFRI,-100.0,-0.032258098
WWW,-100.0,-0.0109127
YY,-100.0,0.03717343
EMB,-100.0,0.014019732
ECEZ,-100.0,0.0
GREE,-100.0,0.0078740084
KOD,-100.0,0.014397924
RMSL,-100.0,0.050847449999999995
ORGN,-100.0,-0.019531231
DRMA,-100.0,-0.2108906
VIAC,-100.0,-0.17810507
SKYH,-100.0,0.0176679
FAF,-100.0,0.0217309
STRN,-100.0,0.0
KZIA,-100.0,-0.0023866894999999997
REAL,-100.0,-0.0080321205
IJR,-100.0,0.009414510000000001
WWE,-100.0,0.00112017
CODX,-100.0,0.040998219999999995
AGS,-100.0,0.0271319
GFAI,-100.0,-0.0070453423
KRYS,-100.0,0.027566210999999997
BUD,-95.62500000000004,0.02094534
VXX,-94.36315111356521,-0.0233968
SU.TO,-92.38095238095241,0.018600534
STM,-91.23809523809527,-0.034000628000000005
ASML,-86.44623621609847,-0.054740729999999994
WIX,-85.46712802768164,0.04057965
AAP,-83.86675244260383,0.00317756
TALK,-82.99160079051384,0.02352939
WAVE,-80.67010309278348,0.04009436
ASHR,-78.69372225745083,-0.00468247
M,-75.3032895583722,-0.019104799999999998
EH,-73.7461524533768,-0.0032432145
GIII,-73.71175523349432,-0.010874904000000001
MQ,-73.60273749388946,0.03945754
H,-72.55296700301058,0.0170477
EA,-70.43525869148652,0.008877943000000001
PALT,-69.6969696969697,-0.029850717000000002
HA,-69.44444444444446,0.023759549999999997
ARCH,-69.00212105093804,0.0049619600000000005
DVN,-67.70478054235392,0.0
LYFT,-67.10225590621116,0.015060226999999999
AUPH,-66.3631656804734,0.13333334
MDT,-66.12611984188852,0.0181615
DADA,-65.38461538461537,0.07028368
SEV,-63.76811594202899,0.0
ZIM,-63.07934489752669,-0.0836333
SESN,-62.199999999999825,-0.014190524
RNG,-61.8941176470588,0.0568313
T,-59.8085257803876,0.0166985
SPWR,-59.76190476190473,-0.010120226999999999
PTRA,-59.37500000000012,-0.002155119
APDN,-57.02292110874196,-0.04181892
INTC,-56.57232224356059,-0.028601969999999997
NAT,-56.0144927536232,-0.0281691
MGA,-55.555555555555536,0.016211299999999998
ABG,-55.55555555555549,0.0232668
AFMD,-54.710144927536234,0.01444042
HYLN,-53.47114761470196,-0.0031055899999999997
SPY,-52.72498612050417,0.010576499999999999
IMPP,-52.13209239739858,0.03189714
BIIB,-51.99875621890546,0.032803779
TIGR,-50.9144701452394,-0.0042462805
GOOD,-50.23625429553267,0.0053078760000000004
E,-49.50502981999016,-0.0037799310000000003
SA,-48.69046724062619,0.037811689999999995
CNQ,-48.209160047814336,0.020305499999999997
MSTR,-47.28465485415979,0.015033482
INMD,-47.1734693877551,0.0044623107
NINE,-47.05882352941173,-0.0037735800000000003
BMO,-46.90598290598288,0.0083186346
CAR,-46.66666666666666,0.026040260000000003
VKIN,-46.31225053374184,0.013157882999999999
XELA,-45.94648647391734,0.0034964975999999997
TSLA,-44.916591982550614,0.012429086
INDP,-44.03409090909092,0.19923382
ACHC,-42.83111422564821,0.05840610500000001
ARDX,-40.15897047691141,0.006950271
VCEL,-39.879759519038046,0.025416975
GUSH,-39.451677781306074,0.029414199999999998
ILMN,-38.05252525252527,0.036233417999999996
BLI,-37.13017751479294,0.09859159999999999
TDOC,-36.76282748090047,0.04878059999999999
GGPI,-36.271227280635934,0.0
CVX,-35.87919509695562,0.011949099999999999
CHPT,-35.46851482375999,-0.07304602
NTLA,-35.411966790724314,0.043469863000000004
AXSM,-35.01023944549455,0.06109661
RAD,-34.69610267792478,0.016320494
MARA,-34.506366370209186,0.037453148
UBER,-33.76884514203613,0.043010799999999995
AREB,-33.33333333333335,-0.047386255
HMBL,-33.265790432584595,0.145631075
GPS,-32.999999999999964,0.0303398
CAN,-32.63378272284455,0.0031055870000000004
TBLT,-32.38594479482349,-0.12107622
ROOT,-32.065217391304344,-0.008403453
TQQQ,-31.074610943992788,0.016249975
SD,-30.99999999999995,0.015954053
APPS,-30.81289081289078,-0.016027404999999998
AA,-29.819735435549422,-0.0175516
ETEK,-29.337557603686648,-0.064516163
MNST,-29.17956467308892,0.020388343
CSCW,-29.100000000000026,-0.060377316
ANY,-28.807880540406273,0.020903344
DD,-28.103525211958935,-0.014933460999999999
SST,-27.88461538461542,0.024390299999999997
JACK,-27.536231884057983,0.031573322
AEHR,-27.536231884057983,-0.074666657
NAKD,-26.738977072310387,-0.149837
SNOW,-25.909527378135177,0.039335499999999995
BKKT,-25.462962962962898,0.033333416
SM,-25.426630610009802,-0.0032172200000000002
RIOT,-25.382104398549245,0.011933106
AI,-25.111579007137554,0.048740399999999996
FMBI,-25.0,0.027711415000000003
ISBC,-25.0,-0.024613247
VAXX,-24.687499999999986,0.11464964999999999
D-UN.TO,-24.5283018867925,-0.0015479246999999998
PYPL,-23.37591694691914,0.022336844999999998
DKNG,-23.35532595185906,0.0085690135
DAC,-23.31488933601611,-0.0188589
WISH,-22.67254971053072,0.018749982000000002
ST,-22.347309093082423,-0.0174292
NOV,-22.30854605993333,-0.0005913796
FTCH,-21.985815602836823,0.015363100000000001
XLE,-21.661456650714307,0.0149629
BTAI,-21.311475409836124,0.08106066
UPST,-21.042224027550315,0.037950628
CEI,-20.92805342413204,-0.044550799999999995
IONQ,-20.598911070780435,0.0022830483
W,-20.507750682479966,0.040404
DASH,-20.36227684950247,0.058906
DIDI,-20.21276595744671,0.0
CORN,-20.15301287507163,-0.021860064999999998
OXY,-20.028006817975385,0.026494499999999997
SQ,-19.789468608330175,0.039700700000000005
SOS,-19.574118766734593,-0.09329140000000001
U,-19.10747981694122,0.0195546
ABCB,-19.06666666666661,0.016426079
D,-18.2641949701841,0.017917559
ATER,-18.16155936912869,0.00925925
PLTR,-17.799442738810434,0.022050800000000002
NILE,-17.734185868028273,0.046327624
LSPD,-17.263834848106697,0.0183856
MIRO,-17.241379310344772,-0.18045115
BEST,-17.171647011932233,0.0
AGRX,-17.04394209306759,-0.4503004
CFVI,-16.666666666666664,0.0020059682
AQB,-15.499999999999957,-0.093567295
BMBL,-15.283919267983004,0.042984049999999996
SIGA,-14.835008443608011,0.08894644
