Date,AAPL
07/01/2022,$138.93
06/30/2022,$136.72
06/29/2022,$139.23
06/28/2022,$137.44
06/27/2022,$141.66
06/24/2022,$141.66
06/23/2022,$138.27
06/22/2022,$135.35
06/21/2022,$135.87
06/17/2022,$131.56
06/16/2022,$130.06
06/15/2022,$135.43
06/14/2022,$132.76
06/13/2022,$131.88
06/10/2022,$137.13
06/09/2022,$142.64
06/08/2022,$147.96
06/07/2022,$148.71
06/06/2022,$146.14
