Date,Volume
07/06/2022,405861
07/05/2022,523628
07/01/2022,449522
06/30/2022,266226
06/29/2022,335995
06/28/2022,573233
06/27/2022,906297
06/24/2022,507874
06/23/2022,593610
06/22/2022,939773
06/21/2022,614190
06/17/2022,446406
06/16/2022,420827
06/15/2022,538977
06/14/2022,647387
06/13/2022,589528
06/10/2022,458691
06/09/2022,455347
06/08/2022,861606
06/07/2022,739006
