Date,JLL
07/01/2022,$181.17
06/30/2022,$174.86
06/29/2022,$176.63
06/28/2022,$176.86
06/27/2022,$176.68
06/24/2022,$175.46
06/23/2022,$171.45
06/22/2022,$170.44
06/21/2022,$169.52
06/17/2022,$167.02
06/16/2022,$155.76
06/15/2022,$166.08
06/14/2022,$165.3
06/13/2022,$162.45
06/10/2022,$172.38
06/09/2022,$177.96
06/08/2022,$185.07
06/07/2022,$190.28
06/06/2022,$189.1
